direction,value,Stamp_Parameters,rep
111.235955056,0.009900231,12.5,1
111.235955056,0.009900231,12.5,1
113.258426966,0.009752638,12.5,1
113.258426966,0.009752638,12.5,1
113.258426966,0.009752638,12.5,1
113.258426966,0.009752638,12.5,1
113.258426966,0.009752638,12.5,1
113.258426966,0.009752638,12.5,1
113.258426966,0.009752638,12.5,1
113.258426966,0.009752638,12.5,1
113.258426966,0.009752638,12.5,1
115.280898876,0.009353576,12.5,1
115.280898876,0.009353576,12.5,1
115.280898876,0.009353576,12.5,1
115.280898876,0.009353576,12.5,1
115.280898876,0.009353576,12.5,1
115.280898876,0.009353576,12.5,1
115.280898876,0.009353576,12.5,1
115.280898876,0.009353576,12.5,1
117.303370787,0.009018095,12.5,1
117.303370787,0.009018095,12.5,1
117.303370787,0.009018095,12.5,1
117.303370787,0.009018095,12.5,1
117.303370787,0.009018095,12.5,1
117.303370787,0.009018095,12.5,1
117.303370787,0.009018095,12.5,1
117.303370787,0.009018095,12.5,1
119.325842697,0.00909781,12.5,1
119.325842697,0.00909781,12.5,1
119.325842697,0.00909781,12.5,1
119.325842697,0.00909781,12.5,1
119.325842697,0.00909781,12.5,1
119.325842697,0.00909781,12.5,1
119.325842697,0.00909781,12.5,1
119.325842697,0.00909781,12.5,1
121.348314607,0.008685454,12.5,1
121.348314607,0.008685454,12.5,1
121.348314607,0.008685454,12.5,1
121.348314607,0.008685454,12.5,1
121.348314607,0.008685454,12.5,1
121.348314607,0.008685454,12.5,1
121.348314607,0.008685454,12.5,1
121.348314607,0.008685454,12.5,1
123.370786517,0.008459728,12.5,1
123.370786517,0.008459728,12.5,1
123.370786517,0.008459728,12.5,1
123.370786517,0.008459728,12.5,1
123.370786517,0.008459728,12.5,1
123.370786517,0.008459728,12.5,1
123.370786517,0.008459728,12.5,1
125.393258427,0.00838484,12.5,1
125.393258427,0.00838484,12.5,1
125.393258427,0.00838484,12.5,1
125.393258427,0.00838484,12.5,1
125.393258427,0.00838484,12.5,1
125.393258427,0.00838484,12.5,1
125.393258427,0.00838484,12.5,1
127.415730337,0.008083467,12.5,1
127.415730337,0.008083467,12.5,1
127.415730337,0.008083467,12.5,1
127.415730337,0.008083467,12.5,1
127.415730337,0.008083467,12.5,1
127.415730337,0.008083467,12.5,1
127.415730337,0.008083467,12.5,1
129.438202247,0.008100313,12.5,1
129.438202247,0.008100313,12.5,1
129.438202247,0.008100313,12.5,1
129.438202247,0.008100313,12.5,1
129.438202247,0.008100313,12.5,1
129.438202247,0.008100313,12.5,1
129.438202247,0.008100313,12.5,1
131.460674157,0.007995188,12.5,1
131.460674157,0.007995188,12.5,1
131.460674157,0.007995188,12.5,1
131.460674157,0.007995188,12.5,1
131.460674157,0.007995188,12.5,1
131.460674157,0.007995188,12.5,1
131.460674157,0.007995188,12.5,1
133.483146067,0.007809371,12.5,1
133.483146067,0.007809371,12.5,1
133.483146067,0.007809371,12.5,1
133.483146067,0.007809371,12.5,1
133.483146067,0.007809371,12.5,1
133.483146067,0.007809371,12.5,1
133.483146067,0.007809371,12.5,1
135.505617978,0.008147784,12.5,1
135.505617978,0.008147784,12.5,1
135.505617978,0.008147784,12.5,1
135.505617978,0.008147784,12.5,1
135.505617978,0.008147784,12.5,1
135.505617978,0.008147784,12.5,1
135.505617978,0.008147784,12.5,1
137.528089888,0.008085999,12.5,1
137.528089888,0.008085999,12.5,1
137.528089888,0.008085999,12.5,1
137.528089888,0.008085999,12.5,1
137.528089888,0.008085999,12.5,1
137.528089888,0.008085999,12.5,1
137.528089888,0.008085999,12.5,1
139.550561798,0.008195695,12.5,1
139.550561798,0.008195695,12.5,1
139.550561798,0.008195695,12.5,1
139.550561798,0.008195695,12.5,1
139.550561798,0.008195695,12.5,1
139.550561798,0.008195695,12.5,1
139.550561798,0.008195695,12.5,1
141.573033708,0.007904648,12.5,1
141.573033708,0.007904648,12.5,1
141.573033708,0.007904648,12.5,1
141.573033708,0.007904648,12.5,1
141.573033708,0.007904648,12.5,1
141.573033708,0.007904648,12.5,1
141.573033708,0.007904648,12.5,1
143.595505618,0.008056191,12.5,1
143.595505618,0.008056191,12.5,1
143.595505618,0.008056191,12.5,1
143.595505618,0.008056191,12.5,1
143.595505618,0.008056191,12.5,1
143.595505618,0.008056191,12.5,1
143.595505618,0.008056191,12.5,1
145.617977528,0.0080681,12.5,1
